Kanji;Kana;Romaji;Translation
外食;;gaishoku;eating out, dining out​
外出;がいしゅつ;gaishutsu;going out
画家;がか;gaka;painter, artist
学期;がっき;gakki;school term
楽器;;gakki;musical instrument​
学;がく;gaku;learning, scholarship
学部;;gakubu;department of a university​
学問;がくもん;gakumon;learning, study
学者;がくしゃ;gakusha;scholar
学習;がくしゅう;gakushuu;study, learning
画面;;gamen;terminal screen
柄;がら;gara;pattern, design
芸術;げいじゅつ;geijutsu;art, the arts
外科;;geka;surgery, department of surgery
劇;げき;geki;drama, play
劇場;げきじょう;gekijou;theater
現場;げんば;genba;actual spot, scene
現代;げんだい;gendai;nowadays, modern era
言語;げんご;gengo;language
現実;げんじつ;genjitsu;reality, actuality
現状;げんじょう;genjou;present condition
限界;げんかい;genkai;limit, bound
現金;げんきん;genkin;cash, ready money
現象;げんしょう;genshou;phenomenon
減少;;genshou;decrease, decline
現在;げんざい;genzai;now, current
議長;ぎちょう;gichou;chairman
議員;ぎいん;giin;member of the Diet
議会;ぎかい;gikai;congress, parliament
疑問;ぎもん;gimon;question, doubt
義務;ぎむ;gimu;duty, obligation
銀;ぎん;gin;silver
議論;ぎろん;giron;argument, discussion
技師;ぎし;gishi;engineer, technician
語;ご;go;language
語学;ごがく;gogaku;language study
豪華;ごうか;gouka;wonderful, gorgeous
誤解;ごかい;gokai;misunderstanding
極;きょく;goku;quite, very
塵;;gomi;rubbish, trash
合格;ごうかく;goukaku;passing (exam), success
合計;ごうけい;goukei;total amount
強盗;ごうとう;goutou;robber, mugger
軍;ぐん;gun;army, troop
軍隊;ぐんたい;guntai;armed forces
具体;ぐたい;gutai;concrete, tangible
偶然;ぐうぜん;guuzen;by chance, unexpectedly
逆;ぎゃく;gyaku;reverse, opposite
行儀;ぎょうぎ;gyougi;manners, behavior
幅;はば;haba;width, breadth
省く;はぶく;habuku;to omit, to leave out
肌;はだ;hada;skin
裸;はだか;hadaka;naked, nude
派手;;hade;showy, flashy
生える;;haeru;to grow, to spring up
激しい;はげしい;hageshii;violent, furious
母親;ははおや;hahaoya;mother
灰;はい;hai;ashes
掃く;;haku;to sweep, to brush
歯磨き;;hamigaki;brushing one’s teeth​
配送;;haisou;delivery
配達;はいたつ;haitatsu;delivery, distribution
俳優;はいゆう;haiyuu;actor, actress
始まり;はじまり;hajimari;origin, beginning
墓;はか;haka;grave, tomb
計る;はかる;hakaru;to measure, to weigh
博士;はかせ;hakase;doctorate
発見;はっけん;hakken;discovery, finding
発行;はっこう;hakkou;issue, publishing
履く;;haku;to wear, to put on
吐く;はく;haku;to vomit, to throw up
博物館;はくぶつかん;hakubutsukan;museum
拍手;はくしゅ;hakushu;applause
花火;;hanabi;fireworks
離れる;はなれる;hanareru;to be separated
話し合う;はなしあう;hanashiau;to discuss
話しかける;;hanashikakeru;to start a conversation
離す;はなす;hanasu;to separate, to part
放す;はなす;hanasu;to release, to let go
花束;;hanataba;bunch of flowers, bouquet​
花屋;;hanaya;florist, flower shop​
羽;はね;hane;feather, down
販売;はんばい;hanbai;sales, selling
判断;はんだん;handan;judgment, decision
範囲;はんい;han’i;range, scope, extent
